table	downstream_files	total_mentions	files
hlb_intermediate.intermediate_user_first_info	5	8	intermediate/intermediate_user_daily_info.sql,intermediate/queries.py,report/report_activation_monthly.sql,report/report_activation_monthly_app.sql,report/report_activation_monthly_web.sql
hlb_intermediate.intermediate_user_recent_info_fb	5	8	intermediate/queries.py,report/report_crm_optin_total.sql,report/report_crm_optin_total_daily.sql,report/report_crm_optin_total_monthly.sql,report/report_crm_optin_total_weekly.sql
hlb_pre_report.pre_report_cohort_retention_active	5	6	pre_report/queries.py,report/report_cohort_retention_active_by_platform_weekly.sql,report/report_cohort_retention_pay_by_platform_daily.sql,report/report_cohort_retention_pay_by_platform_weekly.sql,report/report_cohort_retention_pay_by_platform_yearly.sql
hlb_intermediate.intermediate_v2_metrics_lv1_fb	5	6	intermediate/intermediate_home_action_fb.sql,intermediate/intermediate_relation_fb.sql,intermediate/intermediate_v2_skill_funnel_fb.sql,intermediate/queries.py,mart/mart_v2_metrics_lv1_fb.sql
hlb_intermediate.intermediate_v2_metrics_lv2_fb	5	6	intermediate/intermediate_home_action_fb.sql,intermediate/intermediate_relation_fb.sql,intermediate/intermediate_v2_skill_funnel_fb.sql,intermediate/queries.py,mart/mart_v2_metrics_lv2_fb.sql
hlb_staging.events_list	5	5	intermediate/intermediate_v2_metrics_fb.sql,intermediate/intermediate_v2_metrics_lv1_fb.sql,intermediate/intermediate_v2_metrics_lv2_fb.sql,intermediate/intermediate_v2_metrics_lv3_fb.sql,staging/staging_key_events_fb.sql
hlb_mart.mart_v2_skill_funnel_fb	4	6	mart/queries.py,mart_adhoc/adhoc_mart_user_key_actions_for_targeting.sql,mart_integrated/union_mart_use_skill_from_search_result.sql,mart_integrated/union_mart_user_key_actions.sql
hlb_intermediate.intermediate_v2_metrics_fb	4	5	intermediate/intermediate_v2_metrics_lv1_fb.sql,intermediate/intermediate_v2_metrics_lv2_fb.sql,intermediate/intermediate_v2_metrics_lv3_fb.sql,intermediate/queries.py
hlb_intermediate.intermediate_user_daily_info_temp_fb	4	5	intermediate/intermediate_user_daily_info.sql,intermediate/intermediate_user_first_info_fb.sql,intermediate/intermediate_user_recent_info_fb.sql,intermediate/queries.py
hlb_intermediate.intermediate_session_start_sign_up_fb	4	5	intermediate/queries.py,mart/mart_leave_fb.sql,mart/mart_session_start_fb.sql,mart/mart_sign_up_fb.sql
hlb_staging.staging_key_events_fb_events_list	4	4	mart_adhoc/adhoc_mart_acquisition_with_utm.sql,mart_adhoc/adhoc_mart_acquisition_with_utm_menu_seq.sql,staging/staging_key_events_fb.sql,staging/staging_marketing_utm_fb.sql
hlb_staging.staging_user_server	4	4	intermediate/intermediate_user_daily_info_temp_fb.sql,intermediate/intermediate_user_daily_info_temp_se.sql,mart/mart_user_server.sql,staging/queries.py
