age_group,menu_seq,menu_name,topic,content_type,buyers,revenue_krw,price_amount,open_date,is_open,is_stop_selling
26-35,18467,먼저 연락 올 확률은?,연애,타로,468,4411800.0,6000,2020-07-07 15:00:00+00,true,false
26-35,56255,2026년 놓치면 안 될 3번의 기회,일반운세,사주,464,8566950.0,21000,2025-10-09 15:00:00+00,true,false
26-35,2429,그 사람과 사귀면 어떨까?,연애,타로,462,1047300.0,1800,,true,false
26-35,2202,사주로 보는 직업운,학업직업,사주,461,658050.0,1500,,true,false
26-35,2217,그날 헤어지지 않았다면,연애,타로,458,338550.0,1500,,true,false
26-35,16377,3개월 안에 다시 만날 수 있을까?,연애,타로,418,4439850.0,9000,,true,false
26-35,2227,동갑vs연하vs연상,연애,타로,413,283350.0,1500,,true,false
26-35,58759,"재회의 조건: 골든타임, 시그널, 행동지침",연애,사주,412,7672350.0,19500,,true,false
26-35,2155,이달의 취업운은 어떨까?,학업직업,타로,412,412650.0,1500,,true,false
26-35,49921,연애 무물 타로: 11카드 스프레드,연애,,410,9643800.0,30000,,false,false
26-35,20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,재물금전,사주,407,6681000.0,18000,2022-05-03 15:00:00+00,true,false
26-35,59584,그 사람의 속마음: 연애/결혼/재회/짝사랑,연애,사주,404,7895250.0,19500,2026-03-25 15:00:00+00,true,false
26-35,30875,내 사주 배우자 궁(宮)에 있는 사람은?,연애,사주,401,8332350.0,27000,2023-07-03 16:00:00+00,true,false
26-35,23187,이번 주에 만나게 될 인연은?,연애,타로,400,282450.0,1500,2022-09-26 15:00:00+00,true,false
26-35,23089,연봉 상승 비책: 올해 취업•이직운,재물금전,사주,398,6771900.0,18000,2025-01-30 15:00:00+00,true,false
26-35,18653,내 SNS 염탐하는 사람 있을까?,연애,타로,394,417450.0,1500,2020-09-16 15:00:00+00,true,false
26-35,18142,"다음 연애 언제, 어디서 시작될까?",연애,타로,394,5231700.0,12000,2020-06-03 15:00:00+00,true,false
26-35,26500,"내 사주의 천생연분, 어떤 사람일까?",연애,사주,394,6571200.0,21000,2023-04-06 10:00:00+00,true,false
26-35,34636,내 사주에 자녀 몇 명일까?: 타고난 재능과 성공운까지,가족자녀,사주,390,3513600.0,9000,2023-10-02 16:00:00+00,true,false
26-35,25175,그 사람의 진짜 속마음,연애,,382,395250.0,1500,2023-01-27 15:00:00+00,true,false
26-35,57835,[추가구매] 2026 병오년 운세: 사랑과 인연,연애,사주,380,3562650.0,9000,,false,false
26-35,20320,(추천할인) 우리 사귈 수 있을까?: 사귈 확률 계산기,연애,타로,374,2903550.0,9000,,false,false
26-35,23222,그 사람 나한테 왜 이럴까?,연애,타로,371,1320900.0,1500,2022-09-27 15:00:00+00,true,false
26-35,23086,D-DAY 타로: 솔로 탈출까지 며칠 남았을까?,연애,타로,371,5928450.0,16500,2022-09-21 15:00:00+00,true,false
26-35,42392,2025년 솔로 탈출 시기,연애,사주,370,8319750.0,24000,2024-09-26 06:00:00+00,false,true
26-35,44276,🪫질문권 추가 충전 (1개),기타,,359,580800.0,1500,,false,false
26-35,18105,다가올 인연의 외모·성격·직업은?,연애,타로,357,3423300.0,9000,2020-05-31 15:00:00+00,true,false
26-35,44899,임신 타로: 이번 달 우리 아기 찾아올까?,가족자녀,타로,347,9761400.0,29250,2024-11-27 15:00:00+00,true,false
26-35,2328,내 운명의 상대,연애,사주,337,4849650.0,15000,2021-02-11 15:00:00+00,true,false
26-35,24871,1년 뒤 그 사람과 무슨 사이일까?,연애,타로,334,1151250.0,3600,2022-12-14 15:00:00+00,true,false
26-35,60080,결혼 상대 외모 스펙: 상위 몇%일까?,,사주,326,6015900.0,19500,2026-04-23 15:00:00+00,true,false
26-35,26502,사주로 보는 결혼수: 나는 언제 결혼할까?,결혼,사주,324,8436750.0,27000,2023-03-30 15:00:00+00,true,false
26-35,2422,특정 날짜 내 사주 운세,일반운세,사주,323,1405500.0,1500,,true,false
26-35,34575,절대로 놓치면 안 될 결혼 상대와 시기는?,결혼,사주,319,6247800.0,21000,2023-09-24 16:00:00+00,true,false
26-35,18502,그 사람이랑 결혼하면 어떨까?,연애,타로,318,1359150.0,9000,,true,false
26-35,53875,짝사랑에서 썸까지: 우리 무슨 사이일까?,연애,타로,317,6371250.0,18000,2025-07-30 15:00:00+00,true,false
26-35,18641,걔도 지금 나 보고 싶을까?,연애,타로,311,3153450.0,6000,,true,false
26-35,54271,연락타로: 그 사람 속마음 & 행동지침,연애,타로,310,6053700.0,18000,2025-08-13 15:00:00+00,true,false
26-35,16223,솔로 탈출 언제 가능할까?,연애,타로,307,2742750.0,9000,,true,false
26-35,20347,내 인생의 귀인 + 운명의 상대는?,연애,사주,305,3487650.0,30000,2022-03-24 15:00:00+00,true,false
26-35,44108,2025년에 찾아올 두 명의 인연,연애,사주,303,6877950.0,24000,2024-10-09 15:00:00+00,false,true
26-35,42062,사주 살풀이: 타고난 살과 2025년의 살,일반운세,사주,299,3734250.0,21450,2024-08-28 15:00:00+00,false,true
26-35,56515,[창광] 26년 병오년 재물운과 문서운,재물금전,사주,298,5040150.0,20250,2025-10-22 15:00:00+00,true,false
